Date,account_entry,Particulars,Vch  Type,Vch  No.,Debit,Credit
2017-04-01,Cr,Opening  Balance,,,1939156.42,0.0
2017-04-01,Dr,Unsecured  Kotak  Loan,Payment,1.0,0.0,75613.0
2017-04-01,Dr,Salary  Payable,Payment,2.0,0.0,1430389.0
2017-04-03,Dr,Service  Tax  @14%  Payable,Payment,3.0,0.0,21666.0
2017-04-03,Cr,Iquanti  India  Private  Limited,Receipt,1.0,4950.0,0.0
2017-04-05,Cr,RPS  Consulting  Private  Limited,Receipt,2.0,105000.0,0.0
2017-04-05,Dr,Advance  for  Interiors,Payment,4.0,0.0,125000.0
2017-04-06,Dr,Travelling  Expenses,Payment,5.0,0.0,6512.0
2017-04-06,Dr,Salary  Payable,Payment,6.0,0.0,10361.0
2017-04-06,Dr,Telephone  and  Internet  Expenses,Payment,7.0,0.0,25000.0
2017-04-06,Cr,M/s.  Think  N  Solutions  Pvt  Ltd.,Receipt,3.0,40500.0,0.0
2017-04-07,Cr,Monsanto  Holdings  Pvt  Ltd.,Receipt,4.0,165899.7,0.0
2017-04-07,Cr,Collabera  Technologies  Private  Limited,Receipt,5.0,77557.0,0.0
2017-04-07,Cr,Keystone  logic    A  division  of  Zensar  technologies  Ltd.,Receipt,6.0,56614.0,0.0
2017-04-07,Dr,Travelling  Expenses,Payment,8.0,0.0,15000.0
2017-04-07,Dr,Travelling  Expenses,Payment,9.0,0.0,5488.0
2017-04-07,Dr,Employee  Contribution  to  ESI,Payment,10.0,0.0,40749.0
2017-04-10,Dr,Credit  Card  Payout,Payment,11.0,0.0,25000.0
2017-04-10,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,7.0,5490.0,0.0
2017-04-11,Cr,NDVOR  IT  SOLUTIONS  PRIVATE  LIMITED,Receipt,8.0,38878.0,0.0
2017-04-11,Dr,Employee  Contribution  to  Provident  Fund,Payment,12.0,0.0,221824.0
2017-04-11,Dr,Global  Tax  Advisory  Services,Payment,13.0,0.0,65625.0
2017-04-11,Dr,VIJAYALAKSHMI  H  M  -  Rent  A/c,Payment,14.0,0.0,56422.0
2017-04-11,Dr,Adamma  Technologies  Ltd,Payment,15.0,0.0,10868.0
2017-04-11,Dr,Security  &  Housekeeping  Charges,Payment,16.0,0.0,9652.0
2017-04-11,Dr,S.K.  Force,Payment,17.0,0.0,13620.0
2017-04-13,Cr,Xerox  Business  Services  India  Private  Limited,Receipt,9.0,233841.0,0.0
2017-04-15,Cr,Compassites  Software  Solutions  Pvt  Ltd.,Receipt,10.0,44128.0,0.0
2017-04-15,Cr,Monsanto  Holdings  Pvt  Ltd.,Receipt,11.0,64004.4,0.0
2017-04-16,Dr,Electricity  /  Water  &  Utility  Charges,Payment,18.0,0.0,6778.0
2017-04-18,Cr,Fintellix  Solutions  Pvt.  Ltd  (Formerly  ICreate)_x000D_ 
,Receipt,12.0,1791729.0,0.0
2017-04-20,Dr,Professional  Tax,Payment,19.0,0.0,68123.0
2017-04-20,Dr,General  Drawings,Payment,20.0,0.0,80000.0
2017-04-21,Dr,Telephone  and  Internet  Expenses,Payment,21.0,0.0,1087.0
2017-04-23,Cr,D  Cube  Analytics  Private  Limited,Receipt,13.0,51750.0,0.0
2017-04-24,Cr,MetricStream  Infotech  (India)  Pvt  Ltd.,Receipt,14.0,79713.0,0.0
2017-04-26,Cr,Centurylink  Technologies  India  Pvt  Ltd,Receipt,15.0,39223.0,0.0
2017-04-26,Dr,Advance  for  Interiors,Payment,22.0,0.0,100000.0
2017-04-26,Dr,Cash  on  Hand,Payment,23.0,0.0,15000.0
2017-04-26,Dr,Apartment  EMI,Payment,24.0,0.0,40000.0
2017-04-28,Cr,Xerox  Business  Services  India  Private  Limited,Receipt,16.0,116339.0,0.0
2017-04-29,Cr,Anantha  Cybertech  Pvt  Ltd.,Receipt,17.0,74194.0,0.0
2017-05-01,Dr,Unsecured  Kotak  Loan,Payment,25.0,0.0,75613.0
2017-05-02,Dr,TDS  on  Salary  (192),Payment,26.0,0.0,47312.0
2017-05-03,Dr,Office  Expenses,Payment,27.0,0.0,12000.0
2017-05-03,Dr,Salary  Payable,Payment,28.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,29.0,0.0,129372.0
2017-05-03,Dr,Salary  Payable,Payment,30.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,31.0,0.0,26200.0
2017-05-03,Dr,Salary  Payable,Payment,32.0,0.0,22200.0
2017-05-03,Dr,Salary  Payable,Payment,33.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,34.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,35.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,36.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,37.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,38.0,0.0,6037.0
2017-05-03,Dr,Salary  Payable,Payment,39.0,0.0,7941.0
2017-05-03,Dr,Salary  Payable,Payment,40.0,0.0,6468.0
2017-05-03,Dr,Salary  Payable,Payment,41.0,0.0,19468.0
2017-05-03,Dr,Salary  Payable,Payment,42.0,0.0,19468.0
2017-05-03,Dr,Salary  Payable,Payment,43.0,0.0,2050.0
2017-05-03,Dr,Salary  Payable,Payment,44.0,0.0,46200.0
2017-05-03,Dr,Salary  Payable,Payment,45.0,0.0,31200.0
2017-05-03,Dr,Salary  Payable,Payment,46.0,0.0,26200.0
2017-05-03,Dr,Salary  Payable,Payment,47.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,48.0,0.0,26200.0
2017-05-03,Dr,Salary  Payable,Payment,49.0,0.0,93847.0
2017-05-03,Dr,Salary  Payable,Payment,50.0,0.0,26200.0
2017-05-03,Dr,Salary  Payable,Payment,51.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,52.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,53.0,0.0,12939.0
2017-05-03,Dr,Salary  Payable,Payment,54.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,55.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,56.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,57.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,58.0,0.0,17852.0
2017-05-03,Dr,Salary  Payable,Payment,59.0,0.0,3665.0
2017-05-03,Dr,Salary  Payable,Payment,60.0,0.0,19468.0
2017-05-03,Dr,Salary  Payable,Payment,61.0,0.0,29533.0
2017-05-03,Dr,Salary  Payable,Payment,62.0,0.0,4656.0
2017-05-03,Dr,Salary  Payable,Payment,63.0,0.0,26200.0
2017-05-03,Dr,Salary  Payable,Payment,64.0,0.0,14464.0
2017-05-03,Dr,Salary  Payable,Payment,65.0,0.0,21200.0
2017-05-03,Dr,Salary  Payable,Payment,66.0,0.0,26200.0
2017-05-03,Dr,Salary  Payable,Payment,67.0,0.0,26200.0
2017-05-03,Dr,Salary  Payable,Payment,68.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,69.0,0.0,22200.0
2017-05-03,Dr,Salary  Payable,Payment,70.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,71.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,72.0,0.0,13812.0
2017-05-03,Dr,Salary  Payable,Payment,73.0,0.0,2371.0
2017-05-03,Dr,Salary  Payable,Payment,74.0,0.0,2371.0
2017-05-03,Dr,Salary  Payable,Payment,75.0,0.0,19468.0
2017-05-03,Dr,Salary  Payable,Payment,76.0,0.0,9375.0
2017-05-03,Dr,Salary  Payable,Payment,77.0,0.0,16656.0
2017-05-03,Dr,Salary  Payable,Payment,78.0,0.0,16656.0
