Item_code,Item_name,Category,Sub_category
1,none taxable,,
2,Taxable Item,,
3,Non Taxable Item,,
4,Conv. Charge (%),,
5,Conv. Charge ($),,
6,Lottery Redeem,,
8,Instant Lottery,,
9,Credit Payment,,
10,Bottle Deposit Redeem,,
13,ACCOUNTING,,
14,BACKUP,,
15,REPORTS,,
16,Edit Permission Group,,
17,Store Setting,,
18,Coupon,,
20,Lottery Sales,,
22,Lottery Redeem,,
23,Instant Redeem,,
000309518909,VIRINS MAMAJUANA SPI RUM 750ML,,
000579000050,PINE RIDGE MERLOT 750ML,,
000662252120,CASTILLO MONTROY RESERVA 750ML,,
000662262129,MARQUES DE ZENTE TEMPRANILLO 7,,
000662366599,MARQUES DE ZENTE 750ML,,
008563991070,POPPLES COCONUT MACAROON,,
00868880000028,MISPILLION HOLY CRAP 4PK CAN,,
008896001279,CUSQUENA 6PK,,
008896001811,CRISTAL 12OZ BOT CASE,,
008896002344,CUSQUENA 12OZ BOT CASE,,
008896004959,CRISTAL 6PK 12OZ BOT,,
009016014063,HIJOS DE VILLA PISTOLS 200ML,,
009016014728,HIJOS DE VILLA SILV 200ML,,
009385205017,ARROWOOD CAB SAUV 750ML,,
009450011505,SARANAC LEGACY IPA 6PK BOT,,
009450031657,SARANAC HOLIDAY ALE JUG 32OZ,,
009450080143,SARANAC S MORE PORTER 6P,,
009450208127,SARANAC CARAMEL PORTER 6PK BOT,,
009460000285,MONTEVINA PINOT GRIGIO 750ML,,
009468120190,SARANAC DISRUPTION NITRO 4PK C,,
009800000296,TIC TAC CHERRY APPLE,,
009800000425,TIC TAC CANDY CANE,,
009800001088,TIC TAC CHERRY COLA,,
009800001101,TIC TAC PEACH LEMONADE,,
009800007202,TIC TAC CINNAMON SPICE,,
009800007400,TICTAC STRAWBERRY FIELDS,,
009800007615,TIC TAC FRESHMINTS,,
009800007639,TIC TAC ORANGE,,
009800007646,TIC TAC WILD CHERRY,,
009800007677,TIC TAC WINTERGREEN,,
009800007721,TIC TAC GREEN APPLE,,
009800007783,TIC TAC POWERMINT,,
009800123018,FERRERO ROCHER 3PK,,
009800800056,NUTELLA  GO 1.8OZ,,
010006202445,HAVANA ROSE MALBEC 750ML,,
010006202452,RIONDO AMARONE DELLA VALPO 750,,
010086100471,RIONDO PROSECCO 750ML,,
010086101300,RIONDO PINOT GRIGIO 750ML,,
010086101386,SAN NICOLA MONTEPULC 1.5 LT,,
010086101393,SAN NICOLA PINOT GRIGIO 1.5 LT,,
010086101416,SAN NICOLA PINOT NOIR 1.5LT,,
010086101539,SAN NICOLA MERLOT 1.5 LT,,
010086101553,SAN NICOLA CAB SAUV 1.5 LT,,
010086101829,SERJNA BAROLO 750ML,,
010086102093,BEE FAMOUS ORGANIC MERLOT 750M,,
010086102505,ONEGLASS SANGRIA 100ML,,
010086102512,ONEGLASS PG PINOT GRIGIO 100ML,,
010086102529,ONEGLASS CS CAB SAU 100ML,,
010086103328,HOLA AMIGO CAB SAUV 1.5LT,,
010086103335,HOLA AMIGO CAB SAUV 750ML,,
010086103342,HOLA AMIGO MERLOT 1.5LT,,
010086103359,HOLA AMIGO MERLOT 750ML,,
010086103366,HOLA AMIGO SAUV BLANC 1.5LT,,
010086103373,HOLA AMIGO SAUV BLANC 750ML,,
010086103403,BLU PROSECCO RIONDO 750ML,,
010086103427,ONEGLASS ME MERLOT 100ML,,
010086103434,FRIZECCO PEACH MOSCATO 750ML,,
010086103441,FRIZECCO MANGO MOSCATO 750ML,,
010086103458,FRIZECCO STRAWBE MOSCATO 750ML,,
010086103472,RIONDO R37 DEMI SEC PROSECCO 7,,
010086103595,RED STYLING LOPEZ NOCETI 750ML,,
010086103717,FRIZECCO COCONUT MOSCATO 750ML,,
010086103731,HOLA AMIGO ROSATO 750ML,,
010086103779,PSYCHOTIC VODKA 750ML,,
010086103823,CASA MONTE L42 CAB SAU 750ML,,
010086103830,CASA MONTE L29 SAUVIGN BL 750M,,
010086103847,CASA MONTE L42 MERLOT 750ML,,
010086104035,PINK RIONDO 750ML,,
010086104134,SAN NICOLA MOSCATO DI 1.5 LT,,
010086105704,SWEET AMIGO SANGRIA 750ML,,
010086105711,SWEET AMIGO SANGRIA 1.5LT,,
010086201505,LOPEZ NOCETI 1919 CAB SAUV 750,,
010086201512,LOPEZ NOCETI 1919 MALBEC 750ML,,
010465109002,JOSEPH PHELPS CHARD 750ML,,
010465208903,JOSEPH PHELPS CAB SAUV 750ML 2014,,
010986002226,KENWOOD CAB SAUV 750ML,,
010986002509,KENWOOD MERLOT 750ML,,
011000126096,EVE AMETHYST 120 S SLIM,,
011034410031,MATINI  ROSSI ROSSO VER 1.5LT,,
011034410048,MARTINIROSSI ROSSO 1L,,
011034410055,MARTINIROSSI ROSSO 750ML,,
011034410079,MARTINIROSSI ROSSO 375ML,,
011034420030,MARTINI  ROSSI EXTRA DRY VERM,,
011034420047,MARTINI & ROSSI DRY VERMOUTH 1LT,,
011034420054,MARTINI  ROSSI EXTRA DRY 750,,
011034420078,MARTINI&ROSSI DRY VERMOUTH ,,
011034430046,MARTINI & ROSSI BIANCO 1L,,
011034430053,MARTINI  ROSSI BIANCO 750,,
011034500039,MARTINI AND ROSSI ASTI 1.5LT,,
011034500053,MARTINIROSSI ASTI 750ML,,
011034500077,MARTINIROSSI ASTI 375ML,,
011034501005,MARTINIROSSI PROSECCO 750ML,,
011034503825,MARTINIROSSI ROSE 750ML,,
011132125349,ALPO PIME CUTS,,
011210000216,TABASCO BLODY 750ML,,
011210001527,TABASCO SPICY 750ML,,
011642030010,CHOWARD S SCENTED GUM,,
011642031017,CHOWARD S VIOLET,,
011699008741,BEAUJOLAIS NOUVEAU 2015 750ML,,
011876001676,PALMA LOUCA BOT CASE,,
012000001291,PEPSI 20OZ,,
012000001314,MTN DEW 20OZ BOT,,
012000002809,Brisk lemon tced tea,,
012000031878,BRISK SWEET ICED TEA 1L,,
012000106040,PEPSI 12OZ CANS 20 PK,,
012000202377,BRISK LEMON ICED TEA 2L,,
012000809941,PEPSI 12PK CANS 12OZ,,
012000809958,DIET PEPSI 12PK CANS 12OZ,,
012000809996,PEPSI WILD CHERRY 12PK CANS,,
012000810091,LIPTON BRISK 12PK CANS,,
012000810138,SIERRA MIST 12PK CANS 12OZ,,
012000810176,DIET PEPSI WILD CHERRY 12PK CA,,
012000812835,TROPICANA STRAW 20OZ,,
012000812842,TROPICANA PINK LEM 20OZ,,
012000812859,TROPICANA LEMONADE 20OZ,,
012086936715,TORROS SANGRE 750,,
012086942419,10   torres     750ml,,
012086942420,Budweiser 22oz.,,
012300158138,DORAL MENTHOL LIGHTS 100 S BOX,,
012300197410,CAMEL CRUSH REGULAR,,
012300200158,CAMEL ULTRA LIGHTS,,
012300200608,CAMEL 99 S BLUE,,
012300266550,WINSTON 100 S,,
012300351065,CAMEL NO.9 100 S RED,,
012300356916,CAMEL NO.9 RED,,
012300356947,CAMEL NO.9 MENTHOL,,
012300704991,WINSTON ULTRA LIGHT 100 S,,
012300707992,CAMEL WIDES FILTERS,,
012300708999,CAMEL LIGHT WIDES,,
012300840996,DORAL FULL FLAVOR,,
012300845991,DORAL ULTRA LIGHT 100 S,,
012354000681,ROSEMOUNT SHIR-CAB 750ML,,
012354000698,ROSEMOUNT SHIRAZ-CAB 1.5LT,,
012354000995,19 CRIMES RED WINE 750ML,,
012354001350,19 CRIMES CAB SAUV 750ML,,
012354010048,THE LITTLE PENGUIN,,
012354081840,LINDEMAN S CHARD 750ML,,
012354081857,LINDEMAN S CHARD 1.5L,,
012354111011,BLUES POINT CHARD-SEMILLON 750,,
012546001205,STRIDE MINTACULAR,,
012546001564,TRIDENT LAYERS GRAPE LEMO 14PC,,
012546001915,TRIDENT ISLAND BERRY LIME 18ST,,
012546001939,TRIDENT MINT BLISS 18ST,,
012546002417,STRIDE MANGOTANGO 14PC,,
012546002455,STRIDE WINTERMIXER 14PC,,
012546003490,STRIDE GOLDEN FRUIT 14PC,,
012546004992,TRIDENT SPEARMINT 40PIECES,,
012546005050,TRIDENT UNWRAPPED 30ST,,
012546005234,STRIDE SOUR PATCH REDBERRY,,
012546005258,STRIDE SOUR PATCH LIME,,
012546005463,DENTYNE ICE WINTER CHILL,,
012546005524,STRIDE SOUR PATCH ORANGE 14PC,,
012546007146,STRIDE SOUR PATCH WATERME 14PC,,
012546106283,CHICLETS,,
012546300216,DENTYNE PEPPERMINT,,
012546300261,DENTYNE SPEARMINT,,
012546300599,DENTYNE ARTIC CHILL,,
012546308014,DENTYNE PURE MINT WITH HERBAL,,
012546308052,DENTYNE PURE MINT WITH MELON,,
012546312097,DENTYNE MINT MEDLEY,,
012546312417,DENTYNE ICE ARCTIC CHILL,,
012546312554,DENTYNE ICE PEPPERMINT,,
012546314022,DENTYNE BLAST WINTER CHILL,,
012546314107,DENTYNE BLAST COOL LIME,,
012546315012,DENTYNE ICE SPEARMINT,,
012546315050,DENTYNE ICE MINT FROST,,
012546320276,DENTYNE SPICY,,
012546600026,TRIDENT LAYERS RED FRUIT FLAVO,,
012546600088,TRIDENT LAYERS GREENAPPLE,,
012546600187,TRIDENT LAYERS COOL MINT,,
012546600262,TRIDENT LAYERS ORCHARD PEACH,,
012546600347,TRIDENT LAYERS CHERRY,,
012546600422,TRIDENT LAYERS BERRY,,
012546610452,TRIDENT SPLASH PUKER ME BERRY,,
012546610834,TRIDENT VITALITY BALANCE,,
012546612296,TRIDENT ORIGINAL,,
012546612678,TRIDENT CINN,,
012546615310,TRIDENT SPEARMINT,,
012546615563,TRIDENT BUBBLEGUM,,
012546615952,TRIDENT WATERMELON,,
012546617529,TRIDENT WHITE PEPPERMINTS,,
012546617567,TRIDENT WHITE SPEARMINTS,,
012546619592,TRIDENT TROPICAL,,
012546670036,TRIDENT WINTERGREEN,,
012546670258,TRIDENT SPLASHING MINT,,
012546670388,TRIDENT VITALITY GINSENG,,
012546670425,TRIDENT VITALITY REJUVE,,
012546670463,TRIDENT VITALITY VIGORATE,,
012546671231,TRIDENT SPLASH STRAW,,
012546671316,TRIDENT WHITE COOL COLADA,,
012546671576,TRIDENT WHITE COOL BUBBLE,,
012546672412,TRIDENT SPLASH,,
012546672511,TRIDENT MINTY SWEET,,
012546672535,TRIDENT WILD BLUEBERRY,,
012546673099,TRIDENT PASSIONBERRY,,
012546673358,TRIDENT SPLASH ORANGE SWIRL,,
012546673716,TRIDENT PEPPERMINT,,
012546673754,TRIDENT XTRA CARE,,
012546674379,TRIDENT WHITE COOL MANGOBERRY,,
012546674737,TRIDENT GREEN,,
012546675161,TRIDENT COOL CITRUS,,
012546675215,TRIDENT STRAW,,
012546676045,TRIDENT VITALITY ZEN GREEN TEA,,
012546676090,TRIDENT WHITE PEPPERMINT,,
012546676113,TRIDENT WHITE SPEARMINT,,
012546676137,TRIDENT WHITE WINTERGREEN,,
012546680028,STRIDE WINTERBLUE,,
012546680042,STRIDE SPEARMINT,,
012546680196,STRIDE SWEET PEPPERMINT,,
012546680219,STRIDE FOREVER FRUIT,,
012546680714,STRIDE SWEET CINN,,
012546680783,STRIDE ALWAYS MANDRIN,,
012546681025,STRIDE NONSTOP MINTS,,
012546681711,STRIDE UBER BUBBLE,,
